epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5422.26,1.7604,1.88996,2.02748,0.53157,0.65788,0.56082,0.23985,1.87404,1.58342,2.23164,0.0007294,0.0007294,0.0007294
43,5522.53,1.73491,1.87752,2.01742,0.50545,0.6848,0.58068,0.25609,1.81706,1.56606,2.18843,0.0007228,0.0007228,0.0007228
44,5622.88,1.7538,1.88152,2.03617,0.51065,0.67695,0.54965,0.23535,1.75681,1.58849,2.15757,0.0007162,0.0007162,0.0007162
45,5721.88,1.73582,1.90366,2.04235,0.51909,0.63713,0.55914,0.23885,1.76548,1.61351,2.13818,0.0007096,0.0007096,0.0007096
46,5820.73,1.72546,1.86863,2.00999,0.53246,0.70772,0.59743,0.27521,1.75032,1.50443,2.134,0.000703,0.000703,0.000703
47,5919.28,1.72583,1.87536,2.02199,0.51948,0.70499,0.58486,0.25055,1.77414,1.55858,2.14474,0.0006964,0.0006964,0.0006964
48,6019.28,1.73274,1.87901,1.99608,0.51324,0.68835,0.55888,0.23799,1.8058,1.55969,2.19093,0.0006898,0.0006898,0.0006898
49,6119.67,1.71452,1.85579,2.00264,0.54978,0.66296,0.602,0.25053,1.77669,1.57536,2.14699,0.0006832,0.0006832,0.0006832
50,6219.75,1.7063,1.86537,1.98582,0.57555,0.71397,0.61597,0.26778,1.76345,1.48352,2.11658,0.0006766,0.0006766,0.0006766
51,6319.25,1.70033,1.8294,1.97024,0.54755,0.68929,0.60871,0.26901,1.76741,1.48923,2.13961,0.00067,0.00067,0.00067
52,6420.53,1.68719,1.81374,1.96173,0.50646,0.69826,0.58017,0.25909,1.73678,1.52012,2.14241,0.0006634,0.0006634,0.0006634
53,6522.64,1.70227,1.82064,1.98835,0.52173,0.70163,0.58446,0.2483,1.76371,1.52151,2.12406,0.0006568,0.0006568,0.0006568
54,6620.87,1.66433,1.78818,1.95651,0.57649,0.73061,0.61386,0.28904,1.72753,1.40682,2.08832,0.0006502,0.0006502,0.0006502
55,6722.95,1.70446,1.80624,1.98178,0.56998,0.72406,0.63232,0.29811,1.69687,1.40795,2.06116,0.0006436,0.0006436,0.0006436
